L'a/chicken/vietnam/ncvd-279/2009_CLADE2.3.4.3',N264,D0.005868
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-024/2008_CLADE2.3.4.3',D0.023722
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-041/2008_CLADE2.3.4.3',D0.022997
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/viet_nam/tmu004/2008_CLADE2.3.4.3',D0.025907
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/viet_nam/tmu005/2008_CLADE2.3.4.3',D0.023718
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-006/2008_CLADE2.3.4.3',D0.022992
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-028/2008_CLADE2.3.4.3',D0.021533
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-185/2008_CLADE2.3.4.3',D0.025914
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-186/2008_CLADE2.3.4.3',D0.02519
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-188/2008_CLADE2.3.4.3',D0.02737
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-187/2008_CLADE2.3.4.3',D0.025917
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/ninh_binh/07-68/2007_CLADE2.3.4.3',D0.017168
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/vietnam/ut31239/2007_CLADE2.3.4.3',D0.017896
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-120/2007_CLADE2.3.4.3',D0.018625
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-47/2007_CLADE2.3.4.3',D0.017897
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/ha_nam/07-47/2007_CLADE2.3.4.3',D0.017897
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-111/2007_CLADE2.3.4.3',D0.019353
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-112/2007_CLADE2.3.4.3',D0.020078
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/nam_dinh/07-87/2007_CLADE2.3.4.3',D0.017896
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-51/2007_CLADE2.3.4.3',D0.017898
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/vietnam/ut31203a/2007_CLADE2.3.4.3',D0.020827
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-110/2007_CLADE2.3.4.3',D0.019351
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/vietnam/hn31388m1/2007_CLADE2.3.4.3',D0.023733
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-113/2007_CLADE2.3.4.3',D0.018624
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-086/2008_CLADE2.3.4.3',D0.026704
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-114/2007_CLADE2.3.4.3',D0.01935
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/son_la/07-85/2007_CLADE2.3.4.3',D0.019352
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/na72/2007_CLADE2.3.4.3',D0.028189
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/na114/2007_CLADE2.3.4.3',D0.02448
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-029/2008_CLADE2.3.4.3',D0.021544
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-a015/2008_CLADE2.3.4.3',D0.03041
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/vietnam/ut31312ii/2007_CLADE2.3.4.3',D0.021543
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/viet_nam/hn31242/2007_CLADE2.3.4.3',D0.022271
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/55/2007_CLADE2.3.4.3',D0.019352
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-98/2007_CLADE2.3.4.3',D0.020805
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-93/2007_CLADE2.3.4.3',D0.018625
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/41/2007_CLADE2.3.4.3',D0.017899
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-100/2007_CLADE2.3.4.3',D0.018627
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-61/07_CLADE2.3.4.3',D0.019353
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-76/07_CLADE2.3.4.3',D0.019354
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-60/07_CLADE2.3.4.3',D0.019355
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/vietnam/ut31412ii/2008_CLADE2.3.4.3',D0.023022
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-022/2008_CLADE2.3.4.3',D0.020819
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-94/2007_CLADE2.3.4.3',D0.01863
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-020/2008_CLADE2.3.4.3',D0.020818
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-108/2007_CLADE2.3.4.3',D0.019357
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-021/2008_CLADE2.3.4.3',D0.019357
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-138/2008_CLADE2.3.4.3',D0.023759
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/thai_ninh/07-86/2007_CLADE2.3.4.3',D0.018629
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/nam_dinh/07-55/2007_CLADE2.3.4.3',D0.020815
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-019/2008_CLADE2.3.4.3',D0.018628
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/thai_binh/07-89/2007_CLADE2.3.4.3',D0.018629
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/thai_binh/07-90/2007_CLADE2.3.4.3',D0.019354
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-116/2007_CLADE2.3.4.3',D0.018628
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-119/2007_CLADE2.3.4.3',D0.019354
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-003/2008_CLADE2.3.4.3',D0.022276
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-105/2007_CLADE2.3.4.3',D0.019356
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-033/2008_CLADE2.3.4.3',D0.024453
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-118/2007_CLADE2.3.4.3',D0.023719
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-025/2008_CLADE2.3.4.3',D0.022263
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/g12/2008_CLADE2.3.4.3',D0.026662
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-039/2008_CLADE2.3.4.3',D0.024446
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-027/2008_CLADE2.3.4.3',D0.023722
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-279/2009_CLADE2.3.4.3',D0.029589
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/50/2007_CLADE2.3.4.3',D0.019356
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/vietnam/ut31244ii/2007_CLADE2.3.4.3',D0.019354
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/vietnam/ut31244iii/2007_CLADE2.3.4.3',D0.01863
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/vietnam/hn31244/2007_CLADE2.3.4.3',D0.019354
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/nam_dinh/07-91/2007_CLADE2.3.4.3',D0.018628
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-101/2007_CLADE2.3.4.3',D0.018629
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/civet/vietnam/ncvd-004/2008_CLADE2.3.4.3',D0.021539
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/vietnam/ut31413ii/2008_CLADE2.3.4.3',D0.020815
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-002/2008_CLADE2.3.4.3',D0.023001
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-030/2008_CLADE2.3.4.3',D0.021543
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/viet_nam/tmu001/2008_CLADE2.3.4.3',D0.023729
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-140/2008_CLADE2.3.4.3',D0.021541
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-146/2008_CLADE2.3.4.3',D0.023005
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-154/2008_CLADE2.3.4.3',D0.021543
I'a/goose/yunnan/3340/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-156/2008_CLADE2.3.4.3',D0.022269
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/goose/yunnan/1155/2006_CLADE2.3.4',D0.009457
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/guangxi/4446/2005_CLADE2.3.4',D0.006195
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/vietnam/ut30850/2005_CLADE2.3.4',D0.006919
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/yunnan/2273/2006_CLADE2.3.4',D0.010564
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/goose/guiyang/1461/2006_CLADE2.3.4',D0.008367
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/goose/guiyang/1147/2006_CLADE2.3.4',D0.007281
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-52/2007_CLADE2.3.4.3',D0.019471
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/phu_tho/07-48/2007_CLADE2.3.4.3',D0.017239
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/52/2007_CLADE2.3.4.3',D0.017965
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/japanese_white-eye/hong_kong/737/2007_CLADE2.3.4.3',D0.013527
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/house_crow/hong_kong/1203/2007_CLADE2.3.4.3',D0.013528
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/scaly-breasted_munia/hong_kong/2572/2007_CLADE2.3.4.3',D0.014979
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/avian/hong_kong/2372/2007_CLADE2.3.4.3',D0.014253
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/viet_nam/tmu006/2008_CLADE2.3.4.3',D0.026831
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-026/2008_CLADE2.3.4.3',D0.025272
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/vietnam/ut31394ii/2008_CLADE2.3.4.3',D0.025276
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/quail/vietnam/ncvd-037/2008_CLADE2.3.4.3',D0.02746
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/guangxi/1/2008_CLADE2.3.4.3',D0.025996
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-20/2007_CLADE2.3.4.3',D0.017165
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/18129/2009_CLADE2.3.4.3',D0.027505
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-57/07_CLADE2.3.4.3',D0.018618
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-56/07_CLADE2.3.4.3',D0.018618
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/48/2007_CLADE2.3.4.3',D0.018618
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-62/07_CLADE2.3.4.3',D0.020801
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/43/2007_CLADE2.3.4.3',D0.01862
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-63/07_CLADE2.3.4.3',D0.020089
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/nghe_an/07-49/2007_CLADE2.3.4.3',D0.020801
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-50/07_CLADE2.3.4.3',D0.020076
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/57/2007_CLADE2.3.4.3',D0.017895
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/ha_tinh/07-53/2007_CLADE2.3.4.3',D0.018621
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-81/07_CLADE2.3.4.3',D0.018621
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-71/07_CLADE2.3.4.3',D0.018621
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/ha_nam/07-83/2007_CLADE2.3.4.3',D0.020799
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/ha_nam/07-84/2007_CLADE2.3.4.3',D0.019349
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-65/07_CLADE2.3.4.3',D0.017894
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/bac_gieng/07-66/2007_CLADE2.3.4.3',D0.019349
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/bac_giang/07-74/2007_CLADE2.3.4.3',D0.020074
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/avian/vietnam/ncvd-132/2008_CLADE2.3.4.3',D0.025193
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/avian/vietnam/ncvd-133/2008_CLADE2.3.4.3',D0.025919
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-014/2008_CLADE2.3.4.3',D0.02373
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-084/2008_CLADE2.3.4.3',D0.024465
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/viet_nam/tmu015/2008_CLADE2.3.4.3',D0.02519
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-005/2008_CLADE2.3.4.3',D0.022996
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/avian/vietnam/ncvd-124/2008_CLADE2.3.4.3',D0.024475
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-024/2008_CLADE2.3.4.3',D0.023722
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-041/2008_CLADE2.3.4.3',D0.022997
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/viet_nam/tmu004/2008_CLADE2.3.4.3',D0.025907
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/viet_nam/tmu005/2008_CLADE2.3.4.3',D0.023718
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-006/2008_CLADE2.3.4.3',D0.022992
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-028/2008_CLADE2.3.4.3',D0.021533
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-185/2008_CLADE2.3.4.3',D0.025914
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-186/2008_CLADE2.3.4.3',D0.02519
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-188/2008_CLADE2.3.4.3',D0.02737
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-187/2008_CLADE2.3.4.3',D0.025917
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/ninh_binh/07-68/2007_CLADE2.3.4.3',D0.017168
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/vietnam/ut31239/2007_CLADE2.3.4.3',D0.017896
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-120/2007_CLADE2.3.4.3',D0.018625
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-47/2007_CLADE2.3.4.3',D0.017897
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/ha_nam/07-47/2007_CLADE2.3.4.3',D0.017897
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-111/2007_CLADE2.3.4.3',D0.019353
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-112/2007_CLADE2.3.4.3',D0.020078
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/nam_dinh/07-87/2007_CLADE2.3.4.3',D0.017896
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-51/2007_CLADE2.3.4.3',D0.017898
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/vietnam/ut31203a/2007_CLADE2.3.4.3',D0.020827
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-110/2007_CLADE2.3.4.3',D0.019351
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/vietnam/hn31388m1/2007_CLADE2.3.4.3',D0.023733
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-113/2007_CLADE2.3.4.3',D0.018624
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-086/2008_CLADE2.3.4.3',D0.026704
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-114/2007_CLADE2.3.4.3',D0.01935
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/son_la/07-85/2007_CLADE2.3.4.3',D0.019352
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/na72/2007_CLADE2.3.4.3',D0.028189
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/na114/2007_CLADE2.3.4.3',D0.02448
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-029/2008_CLADE2.3.4.3',D0.021544
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-a015/2008_CLADE2.3.4.3',D0.03041
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/vietnam/ut31312ii/2007_CLADE2.3.4.3',D0.021543
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/viet_nam/hn31242/2007_CLADE2.3.4.3',D0.022271
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/55/2007_CLADE2.3.4.3',D0.019352
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-98/2007_CLADE2.3.4.3',D0.020805
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-93/2007_CLADE2.3.4.3',D0.018625
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/41/2007_CLADE2.3.4.3',D0.017899
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-100/2007_CLADE2.3.4.3',D0.018627
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-61/07_CLADE2.3.4.3',D0.019353
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-76/07_CLADE2.3.4.3',D0.019354
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-60/07_CLADE2.3.4.3',D0.019355
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/vietnam/ut31412ii/2008_CLADE2.3.4.3',D0.023022
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-022/2008_CLADE2.3.4.3',D0.020819
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-94/2007_CLADE2.3.4.3',D0.01863
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-020/2008_CLADE2.3.4.3',D0.020818
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-108/2007_CLADE2.3.4.3',D0.019357
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-021/2008_CLADE2.3.4.3',D0.019357
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-138/2008_CLADE2.3.4.3',D0.023759
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/thai_ninh/07-86/2007_CLADE2.3.4.3',D0.018629
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/nam_dinh/07-55/2007_CLADE2.3.4.3',D0.020815
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-019/2008_CLADE2.3.4.3',D0.018628
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/thai_binh/07-89/2007_CLADE2.3.4.3',D0.018629
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/thai_binh/07-90/2007_CLADE2.3.4.3',D0.019354
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-116/2007_CLADE2.3.4.3',D0.018628
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-119/2007_CLADE2.3.4.3',D0.019354
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-003/2008_CLADE2.3.4.3',D0.022276
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-105/2007_CLADE2.3.4.3',D0.019356
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-033/2008_CLADE2.3.4.3',D0.024453
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-118/2007_CLADE2.3.4.3',D0.023719
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-025/2008_CLADE2.3.4.3',D0.022263
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/g12/2008_CLADE2.3.4.3',D0.026662
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-039/2008_CLADE2.3.4.3',D0.024446
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-027/2008_CLADE2.3.4.3',D0.023722
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-279/2009_CLADE2.3.4.3',D0.029589
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/50/2007_CLADE2.3.4.3',D0.019356
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/vietnam/ut31244ii/2007_CLADE2.3.4.3',D0.019354
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/vietnam/ut31244iii/2007_CLADE2.3.4.3',D0.01863
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/vietnam/hn31244/2007_CLADE2.3.4.3',D0.019354
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/nam_dinh/07-91/2007_CLADE2.3.4.3',D0.018628
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-101/2007_CLADE2.3.4.3',D0.018629
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/civet/vietnam/ncvd-004/2008_CLADE2.3.4.3',D0.021539
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/vietnam/ut31413ii/2008_CLADE2.3.4.3',D0.020815
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/chicken/vietnam/ncvd-002/2008_CLADE2.3.4.3',D0.023001
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-030/2008_CLADE2.3.4.3',D0.021543
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/viet_nam/tmu001/2008_CLADE2.3.4.3',D0.023729
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-140/2008_CLADE2.3.4.3',D0.021541
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/duck/vietnam/ncvd-146/2008_CLADE2.3.4.3',D0.023005
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-154/2008_CLADE2.3.4.3',D0.021543
I'a/duck/yunnan/3332/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-156/2008_CLADE2.3.4.3',D0.022269
I'a/goose/yunnan/1155/2006_CLADE2.3.4',J'a/duck/guangxi/4446/2005_CLADE2.3.4',D0.003266
I'a/goose/yunnan/1155/2006_CLADE2.3.4',J'a/vietnam/ut30850/2005_CLADE2.3.4',D0.00399
I'a/goose/yunnan/1155/2006_CLADE2.3.4',J'a/duck/yunnan/2273/2006_CLADE2.3.4',D0.007635
I'a/goose/yunnan/1155/2006_CLADE2.3.4',J'a/goose/guiyang/1461/2006_CLADE2.3.4',D0.005438
I'a/goose/yunnan/1155/2006_CLADE2.3.4',J'a/goose/guiyang/1147/2006_CLADE2.3.4',D0.004352
I'a/goose/yunnan/1155/2006_CLADE2.3.4',J'a/muscovy_duck/vietnam/ncvd-52/2007_CLADE2.3.4.3',D0.016544
